gene_idx,GeneID,GeneSymbol
779,7852,CXCR4
780,7866,IFRD2
781,7867,MAPKAPK3
782,7874,USP7
783,79006,METRN
784,7905,REEP5
785,79071,ELOVL6
786,79073,TMEM109
787,79080,CCDC86
788,79090,TRAPPC6A
789,79094,CHAC1
790,79143,MBOAT7
791,79170,PRR15L
792,79174,CRELD2
793,79187,FSD1
794,79600,TCTN1
795,79643,CHMP6
796,79716,NPEPL1
797,7982,ST7
798,79850,FAM57A
799,79902,NUP85
800,79921,TCEAL4
801,7994,KAT6A
802,79947,DHDDS
803,79961,DENND2D
804,80204,FBXO11
805,80212,CCDC92
806,80347,COASY
807,80349,WDR61
808,8050,PDHX
809,8061,FOSL1
810,80746,TSEN2
811,80758,PRR7
812,808,CALM3
813,8091,HMGA2
814,813,CALU
815,81533,ITFG1
816,81544,GDPD5
817,8202,NCOA3
818,8204,NRIP1
819,823,CAPN1
820,8243,SMC1A
821,8270,LAGE3
822,831,CAST
823,8312,AXIN1
824,8318,CDC45
825,8321,FZD1
826,8324,FZD7
827,8349,HIST2H2BE
828,835,CASP2
829,836,CASP3
830,83743,GRWD1
831,8396,PIP4K2B
832,840,CASP7
833,84159,ARID5B
834,843,CASP10
835,8440,NCK2
836,8444,DYRK3
837,8446,DUSP11
838,84617,TUBB6
839,847,CAT
840,84722,PSRC1
841,8480,RAE1
842,84890,ADO
843,8503,PIK3R3
844,8508,NIPSNAP1
845,8518,ELP1
846,8520,HAT1
847,85236,HIST1H2BK
848,85377,MICALL1
849,8550,MAPKAPK5
850,8553,BHLHE40
851,8569,MKNK1
852,8573,CASK
853,8574,AKR7A2
854,8607,RUVBL1
855,8624,PSMG1
856,8678,BECN1
857,868,CBLB
858,8720,MBTPS1
859,8726,EED
860,8727,CTNNAL1
861,873,CBR1
862,8731,RNMT
863,874,CBR3
864,8800,PEX11A
865,8804,CREG1
866,8821,INPP4B
867,8826,IQGAP1
868,8835,SOCS2
869,8837,CFLAR
870,8851,CDK5R1
871,8869,ST3GAL5
872,8870,IER3
873,8878,SQSTM1
874,8884,SLC5A6
875,8895,CPNE3
876,890,CCNA2
877,8900,CCNA1
878,891,CCNB1
879,8914,TIMELESS
880,896,CCND3
881,8974,P4HA2
882,8985,PLOD3
883,899,CCNF
884,89910,UBE3B
885,8996,NOL3
886,9016,SLC25A14
887,9019,MPZL1
888,902,CCNH
889,9053,MAP7
890,90861,JPT2
891,9093,DNAJA3
892,9097,USP14
893,9112,MTA1
894,91137,SLC25A46
895,9124,PDLIM1
896,9126,SMC3
897,9128,PRPF4
898,9133,CCNB2
899,9134,CCNE2
900,9143,SYNGR3
901,9170,LPAR2
902,9181,ARHGEF2
903,9183,ZW10
904,91949,COG7
905,9212,AURKB
906,9217,VAPB
907,9221,NOLC1
908,9246,UBE2L6
909,9261,MAPKAPK2
910,9267,CYTH1
911,9270,ITGB1BP1
912,9275,BCL7B
913,9276,COPB2
914,9289,ADGRG1
915,93487,MAPK1IP1L
916,93594,TBC1D31
917,9375,TM9SF2
918,94239,H2AFV
919,9448,MAP4K4
920,9455,HOMER2
921,9467,SH3BP5
922,9488,PIGB
923,949,SCARB1
924,9491,PSMF1
925,9517,SPTLC2
926,9519,TBPL1
927,9531,BAG3
928,9533,POLR1C
929,9552,SPAG7
930,958,CD40
931,960,CD44
932,9637,FEZ2
