adr_idx,adr_id,adr_name
79,C0006849,Oral candidiasis
80,C0006905,Capillary fragility
81,C0007102,Colon cancer
82,C0007107,Laryngeal cancer
83,C0007113,Rectal cancer
84,C0007114,Skin cancer
85,C0007120,Bronchioloalveolar carcinoma
86,C0007193,Congestive cardiomyopathy
87,C0007194,Hypertrophic cardiomyopathy
88,C0007196,Restrictive cardiomyopathy
89,C0007222,Cardiovascular disorder
90,C0007384,Cataplexy
91,C0007758,Cerebellar ataxia
92,C0007785,Cerebral infarction
93,C0007820,Cerebrovascular disorder
94,C0007867,Cervix disorder
95,C0007971,Cheilitis
96,C0008301,Choking
97,C0008311,Cholangitis
98,C0008313,Cholangitis sclerosing
99,C0008350,Cholelithiasis
100,C0008370,Cholestasis
101,C0008526,Choroiditis
102,C0008728,Allergic granulomatous angiitis
103,C0008924,Cleft lip
104,C0008925,Cleft palate
105,C0009088,Cluster headache
106,C0009144,Tongue coated
107,C0009319,Colitis
108,C0009324,Colitis ulcerative
109,C0009377,Colonic pseudo-obstruction
110,C0009421,Coma
111,C0009595,Obsessive-compulsive personality disorder
112,C0009806,Constipation
113,C0009917,Muscle contracture
114,C0009952,Febrile convulsion
115,C0010043,Ulcerative keratitis
116,C0010200,Cough
117,C0010266,Cranial nerve disorder
118,C0010709,Cyst
119,C0010930,Dacryocystitis
120,C0011053,Deafness
121,C0011057,Sudden hearing loss
122,C0011071,Sudden death
123,C0011124,Libido decreased
124,C0011127,Decubitus ulcer
125,C0011168,Dysphagia
126,C0011175,Dehydration
127,C0011206,Delirium
128,C0011334,Dental caries
129,C0011570,Depression
130,C0011603,Dermatitis
131,C0011606,Dermatitis exfoliative
132,C0011615,Dermatitis atopic
133,C0011616,Dermatitis contact
134,C0011633,Dermatomyositis
135,C0011644,Scleroderma
136,C0011649,Dermoid cyst
137,C0011757,Developmental coordination disorder
138,C0011848,Diabetes insipidus
139,C0011849,Diabetes mellitus
140,C0011881,Diabetic nephropathy
141,C0011882,Diabetic neuropathy
142,C0011884,Diabetic retinopathy
143,C0011974,Dermatitis diaper
144,C0011991,Diarrhoea
145,C0012241,Gastrointestinal malformation
146,C0012569,Diplopia
147,C0012739,Disseminated intravascular coagulation
148,C0012833,Dizziness
149,C0013132,Drooling
150,C0013182,Drug hypersensitivity
151,C0013220,Drug tolerance
152,C0013274,Patent ductus arteriosus
153,C0013295,Duodenal ulcer
154,C0013362,Dysarthria
155,C0013384,Dyskinesia
156,C0013428,Dysuria
157,C0013447,Ear disorder
158,C0013456,Ear pain
159,C0013473,Eating disorder
160,C0013595,Eczema
161,C0014130,Endocrine disorder
162,C0014173,Endometrial hyperplasia
163,C0014175,Endometriosis
164,C0014431,Enzyme induction
165,C0014457,Eosinophilia
166,C0014534,Epididymitis
167,C0014544,Epilepsy
168,C0014549,Grand mal convulsion
169,C0014550,Myoclonic epilepsy
170,C0014553,Petit mal epilepsy
171,C0014591,Epistaxis
172,C0014742,Erythema multiforme
173,C0014743,Erythema nodosum
174,C0014745,Palmar erythema
175,C0014804,Erythromelalgia
176,C0014848,Oesophageal achalasia
177,C0014852,Oesophageal disorder
178,C0014866,Oesophageal stenosis
179,C0014868,Oesophagitis
180,C0015230,Rash
181,C0015300,Exophthalmos
182,C0015393,Congenital eye disorder
183,C0015395,Eye burns
184,C0015397,Eye disorder
185,C0015409,Eye penetration
186,C0015459,Face injury
187,C0015523,Factor XI deficiency
188,C0015544,Failure to thrive
189,C0015672,Fatigue
190,C0015726,Fear
191,C0015732,Faecal incontinence
192,C0015927,Foetal death
193,C0015929,Foetal disorder
194,C0015934,Microsomia
195,C0015967,Body temperature increased
196,C0016034,Fibrocystic breast disease
197,C0016059,Fibrosis
198,C0016167,Anal fissure
199,C0016242,Vitreous floaters
200,C0016412,Folate deficiency
201,C0016508,Congenital foot malformation
202,C0016514,Foot and mouth disease
203,C0016658,Fracture
204,C0016751,Fructose intolerance
205,C0017086,Gangrene
206,C0017160,Gastroenteritis
207,C0017178,Gastrointestinal disorder
208,C0017411,Genital disorder female
209,C0017574,Gingivitis
210,C0017601,Glaucoma
211,C0017605,Angle closure glaucoma
212,C0017636,Glioblastoma
213,C0017658,Glomerulonephritis
214,C0017665,Glomerulonephritis membranous
215,C0017675,Glossitis
216,C0017677,Tongue geographic
217,C0017979,Glycosuria
218,C0018099,Gout
219,C0018418,Gynaecomastia
220,C0018500,Hair disorder
221,C0018520,Breath odour
222,C0018784,Deafness neurosensory
223,C0018790,Cardiac arrest
224,C0018800,Cardiomegaly
225,C0018801,Cardiac failure
226,C0018802,Cardiac failure congestive
227,C0018817,Atrial septal defect
228,C0018818,Ventricular septal defect
229,C0018839,Heat exhaustion
230,C0018843,Heat stroke
231,C0018916,Haemangioma
232,C0018975,Blindness day
233,C0019079,Haemoptysis
234,C0019087,Haemorrhagic disorder
235,C0019158,Hepatitis
236,C0019196,Hepatitis C
237,C0019209,Hepatomegaly
