DiseaseName_raw,DiseaseName_norm
Amelogenesis imperfecta pigmented hypomaturation type,amelogenesis imperfecta pigmented hypomaturation type
"Amelogenesis Imperfecta, Type IB",amelogenesis imperfecta type ib
"Amelogenesis Imperfecta, Type Ic",amelogenesis imperfecta type ic
"AMELOGENESIS IMPERFECTA, TYPE IF",amelogenesis imperfecta type if
"AMELOGENESIS IMPERFECTA, TYPE IG",amelogenesis imperfecta type ig
"AMELOGENESIS IMPERFECTA, TYPE IH",amelogenesis imperfecta type ih
"Amelogenesis Imperfecta, Type III",amelogenesis imperfecta type iii
"AMELOGENESIS IMPERFECTA, TYPE IJ",amelogenesis imperfecta type ij
"Amelogenesis Imperfecta, Type IV",amelogenesis imperfecta type iv
Amenorrhea,amenorrhea
"Amino Acid Metabolism, Inborn Errors",amino acid metabolism inborn errors
Aminoacylase 1 deficiency,aminoacylase 1 deficiency
Amish Infantile Epilepsy Syndrome,amish infantile epilepsy syndrome
Amish lethal microcephaly,amish lethal microcephaly
"Amnesia, Retrograde",amnesia retrograde
Amphetamine-Related Disorders,amphetamine related disorders
AMR Syndrome,amr syndrome
Amyloid angiopathy,amyloid angiopathy
Amyloid Neuropathies,amyloid neuropathies
"Amyloid Neuropathies, Familial",amyloid neuropathies familial
"Amyloidosis, Cerebroarterial, App-Related",amyloidosis cerebroarterial app related
"Amyloidosis, Familial",amyloidosis familial
"Amyloidosis, familial visceral",amyloidosis familial visceral
"Amyloidosis, Hereditary, Transthyretin-Related",amyloidosis hereditary transthyretin related
amyloidosis IX,amyloidosis ix
"Amyloidosis, Primary Cutaneous",amyloidosis primary cutaneous
Amyotrophic Lateral Sclerosis,amyotrophic lateral sclerosis
Amyotrophic lateral sclerosis 1,amyotrophic lateral sclerosis 1
Amyotrophic Lateral Sclerosis 10,amyotrophic lateral sclerosis 10
Amyotrophic Lateral Sclerosis 11,amyotrophic lateral sclerosis 11
AMYOTROPHIC LATERAL SCLEROSIS 12 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA,amyotrophic lateral sclerosis 12 with or without frontotemporal dementia
AMYOTROPHIC LATERAL SCLEROSIS 15 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA,amyotrophic lateral sclerosis 15 with or without frontotemporal dementia
"AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE",amyotrophic lateral sclerosis 16 juvenile
AMYOTROPHIC LATERAL SCLEROSIS 18,amyotrophic lateral sclerosis 18
AMYOTROPHIC LATERAL SCLEROSIS 19,amyotrophic lateral sclerosis 19
"Amyotrophic Lateral Sclerosis 2, Juvenile",amyotrophic lateral sclerosis 2 juvenile
AMYOTROPHIC LATERAL SCLEROSIS 20,amyotrophic lateral sclerosis 20
"Amyotrophic Lateral Sclerosis 4, Juvenile",amyotrophic lateral sclerosis 4 juvenile
Amyotrophic Lateral Sclerosis 5,amyotrophic lateral sclerosis 5
"Amyotrophic Lateral Sclerosis 6, Autosomal Recessive",amyotrophic lateral sclerosis 6 autosomal recessive
Amyotrophic Lateral Sclerosis 8,amyotrophic lateral sclerosis 8
Amyotrophic Lateral Sclerosis 9,amyotrophic lateral sclerosis 9
AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1,amyotrophic lateral sclerosis parkinsonism dementia complex 1
Anaphylaxis,anaphylaxis
Anaplasia,anaplasia
Anauxetic dysplasia,anauxetic dysplasia
Andersen Syndrome,andersen syndrome
Androgen-Insensitivity Syndrome,androgen insensitivity syndrome
Anemia,anemia
"Anemia, Aplastic",anemia aplastic
"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 1",anemia congenital nonspherocytic hemolytic 1
"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 4",anemia congenital nonspherocytic hemolytic 4
"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 5",anemia congenital nonspherocytic hemolytic 5
"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 6",anemia congenital nonspherocytic hemolytic 6
"Anemia, Diamond-Blackfan",anemia diamond blackfan
"Anemia, Diamond-Blackfan, 3",anemia diamond blackfan 3
"Anemia, Dyserythropoietic, Congenital",anemia dyserythropoietic congenital
"Anemia, Hemolytic",anemia hemolytic
"Anemia, Hemolytic, Autoimmune",anemia hemolytic autoimmune
"Anemia, Hemolytic, Congenital",anemia hemolytic congenital
"Anemia, Hemolytic, Congenital Nonspherocytic",anemia hemolytic congenital nonspherocytic
"Anemia, hypochromic microcytic",anemia hypochromic microcytic
"Anemia, Hypochromic Microcytic, With Iron Overload",anemia hypochromic microcytic with iron overload
"Anemia, Hypoplastic, Congenital",anemia hypoplastic congenital
"Anemia, Iron-Deficiency",anemia iron deficiency
"Anemia, Macrocytic",anemia macrocytic
"Anemia, Megaloblastic",anemia megaloblastic
"Anemia, Neonatal",anemia neonatal
"Anemia, Refractory",anemia refractory
"Anemia, Sickle Cell",anemia sickle cell
"Anemia, Sideroblastic",anemia sideroblastic
"Anemia, Sideroblastic, Pyridoxine-Refractory, Autosomal Recessive",anemia sideroblastic pyridoxine refractory autosomal recessive
"Anemia, sideroblastic spinocerebellar ataxia",anemia sideroblastic spinocerebellar ataxia
"ANEMIA, X-LINKED, WITH OR WITHOUT NEUTROPENIA AND/OR PLATELET ABNORMALITIES",anemia x linked with or without neutropenia and or platelet abnormalities
Aneuploidy,aneuploidy
Angelman Syndrome,angelman syndrome
"Angina, Stable",angina stable
"ANGIOEDEMA INDUCED BY ACE INHIBITORS, SUSCEPTIBILITY TO",angioedema induced by ace inhibitors susceptibility to
"Angioedemas, Hereditary",angioedemas hereditary
Angiokeratoma,angiokeratoma
"Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps",angiopathy hereditary with nephropathy aneurysms and muscle cramps
"ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS",anhidrosis isolated with normal sweat glands
Aniridia,aniridia
Aniridia cerebellar ataxia mental deficiency,aniridia cerebellar ataxia mental deficiency
Anisometropia,anisometropia
Ankylosis,ankylosis
Anodontia,anodontia
Anonychia congenita,anonychia congenita
Anophthalmia with pulmonary hypoplasia,anophthalmia with pulmonary hypoplasia
Anophthalmos,anophthalmos
Anophthalmos with limb anomalies,anophthalmos with limb anomalies
Anorexia,anorexia
Anovulation,anovulation
