DiseaseName_raw,DiseaseName_norm
Penile Diseases,penile diseases
Penile Induration,penile induration
Penile Neoplasms,penile neoplasms
Pentalogy of Cantrell,pentalogy of cantrell
Pentosuria,pentosuria
Penttinen-Aula syndrome,penttinen aula syndrome
Peptic Ulcer Hemorrhage,peptic ulcer hemorrhage
Periapical Periodontitis,periapical periodontitis
Perinatal Death,perinatal death
"Periodic fever, familial, autosomal dominant",periodic fever familial autosomal dominant
"PERIODIC FEVER, MENSTRUAL CYCLE-DEPENDENT",periodic fever menstrual cycle dependent
Periodontal Diseases,periodontal diseases
Peripheral Arterial Disease,peripheral arterial disease
"Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease",peripheral demyelinating neuropathy central dysmyelination waardenburg syndrome and hirschsprung disease
Peripheral Nerve Injuries,peripheral nerve injuries
Peripheral Nervous System Diseases,peripheral nervous system diseases
"PERIPHERAL NEUROPATHY, MYOPATHY, HOARSENESS, AND HEARING LOSS",peripheral neuropathy myopathy hoarseness and hearing loss
"PERIPHERAL NEUROPATHY WITH VARIABLE SPASTICITY, EXERCISE INTOLERANCE, AND DEVELOPMENTAL DELAY",peripheral neuropathy with variable spasticity exercise intolerance and developmental delay
Peripheral Vascular Diseases,peripheral vascular diseases
Perisylvian syndrome,perisylvian syndrome
Peritoneal Fibrosis,peritoneal fibrosis
Peritoneal Neoplasms,peritoneal neoplasms
Periventricular Nodular Heterotopia,periventricular nodular heterotopia
Peroxisomal ACYL-COA oxidase deficiency,peroxisomal acyl coa oxidase deficiency
Peroxisomal Disorders,peroxisomal disorders
PEROXISOME BIOGENESIS DISORDER 10A (ZELLWEGER),peroxisome biogenesis disorder 10a zellweger
PEROXISOME BIOGENESIS DISORDER 10B,peroxisome biogenesis disorder 10b
PEROXISOME BIOGENESIS DISORDER 11A (ZELLWEGER),peroxisome biogenesis disorder 11a zellweger
PEROXISOME BIOGENESIS DISORDER 11B,peroxisome biogenesis disorder 11b
PEROXISOME BIOGENESIS DISORDER 12A (ZELLWEGER),peroxisome biogenesis disorder 12a zellweger
PEROXISOME BIOGENESIS DISORDER 13A (ZELLWEGER),peroxisome biogenesis disorder 13a zellweger
PEROXISOME BIOGENESIS DISORDER 14B,peroxisome biogenesis disorder 14b
PEROXISOME BIOGENESIS DISORDER 2A (ZELLWEGER),peroxisome biogenesis disorder 2a zellweger
PEROXISOME BIOGENESIS DISORDER 2B,peroxisome biogenesis disorder 2b
PEROXISOME BIOGENESIS DISORDER 3A (ZELLWEGER),peroxisome biogenesis disorder 3a zellweger
PEROXISOME BIOGENESIS DISORDER 4A (ZELLWEGER),peroxisome biogenesis disorder 4a zellweger
PEROXISOME BIOGENESIS DISORDER 4B,peroxisome biogenesis disorder 4b
PEROXISOME BIOGENESIS DISORDER 5A (ZELLWEGER),peroxisome biogenesis disorder 5a zellweger
PEROXISOME BIOGENESIS DISORDER 5B,peroxisome biogenesis disorder 5b
PEROXISOME BIOGENESIS DISORDER 6A (ZELLWEGER),peroxisome biogenesis disorder 6a zellweger
PEROXISOME BIOGENESIS DISORDER 6B,peroxisome biogenesis disorder 6b
PEROXISOME BIOGENESIS DISORDER 7A (ZELLWEGER),peroxisome biogenesis disorder 7a zellweger
PEROXISOME BIOGENESIS DISORDER 7B,peroxisome biogenesis disorder 7b
PEROXISOME BIOGENESIS DISORDER 8A (ZELLWEGER),peroxisome biogenesis disorder 8a zellweger
PEROXISOME BIOGENESIS DISORDER 8B,peroxisome biogenesis disorder 8b
PEROXISOME BIOGENESIS DISORDER 9B,peroxisome biogenesis disorder 9b
Peroxisome biogenesis disorders,peroxisome biogenesis disorders
PERRAULT SYNDROME 3,perrault syndrome 3
Perry Syndrome,perry syndrome
Persian Gulf Syndrome,persian gulf syndrome
Persistent Fetal Circulation Syndrome,persistent fetal circulation syndrome
Persistent Mullerian duct syndrome,persistent mullerian duct syndrome
Personality Disorders,personality disorders
Peters anomaly,peters anomaly
Peutz-Jeghers Syndrome,peutz jeghers syndrome
Pfeiffer type acrocephalosyndactyly,pfeiffer type acrocephalosyndactyly
Phagocyte Bactericidal Dysfunction,phagocyte bactericidal dysfunction
Pharyngeal Neoplasms,pharyngeal neoplasms
Phencyclidine Abuse,phencyclidine abuse
Phenylketonurias,phenylketonurias
Pheochromocytoma,pheochromocytoma
PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME 4,pheochromocytoma paraganglioma syndrome 4
PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME 5,pheochromocytoma paraganglioma syndrome 5
Phobic Disorders,phobic disorders
Phosphoenolpyruvate carboxykinase deficiency,phosphoenolpyruvate carboxykinase deficiency
"Phosphoenolpyruvate Carboxykinase Deficiency, Mitochondrial",phosphoenolpyruvate carboxykinase deficiency mitochondrial
Phosphoglycerate Dehydrogenase Deficiency,phosphoglycerate dehydrogenase deficiency
Phosphoglycerate Kinase 1 Deficiency,phosphoglycerate kinase 1 deficiency
Phosphoribosylpyrophosphate Synthetase Superactivity,phosphoribosylpyrophosphate synthetase superactivity
Phosphoserine Aminotransferase Deficiency,phosphoserine aminotransferase deficiency
PHOSPHOSERINE PHOSPHATASE DEFICIENCY,phosphoserine phosphatase deficiency
Phyllodes Tumor,phyllodes tumor
Phyllodes Tumor of the Prostate,phyllodes tumor of the prostate
Pick Disease of the Brain,pick disease of the brain
Piebaldism,piebaldism
Pierre Robin Syndrome,pierre robin syndrome
Pierre Robin syndrome with fetal chondrodysplasia,pierre robin syndrome with fetal chondrodysplasia
Pierson syndrome,pierson syndrome
"Pigmentary Disorder, Reticulate, with Systemic Manifestations",pigmentary disorder reticulate with systemic manifestations
Pigmentation Disorders,pigmentation disorders
"Pigmented Nodular Adrenocortical Disease, Primary, 1",pigmented nodular adrenocortical disease primary 1
"Pigmented Nodular Adrenocortical Disease, Primary, 2",pigmented nodular adrenocortical disease primary 2
"PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 3",pigmented nodular adrenocortical disease primary 3
"PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 4",pigmented nodular adrenocortical disease primary 4
Pigmented Paravenous Chorioretinal Atrophy,pigmented paravenous chorioretinal atrophy
Pilomatrixoma,pilomatrixoma
PITT-HOPKINS-LIKE SYNDROME 2,pitt hopkins like syndrome 2
Pitt-Hopkins syndrome,pitt hopkins syndrome
Pituitary ACTH Hypersecretion,pituitary acth hypersecretion
"PITUITARY ADENOMA 1, MULTIPLE TYPES",pituitary adenoma 1 multiple types
Pituitary Apoplexy,pituitary apoplexy
Pituitary Diseases,pituitary diseases
Pituitary dwarfism 1,pituitary dwarfism 1
"Pituitary Hormone Deficiency, Combined, 1",pituitary hormone deficiency combined 1
"Pituitary Hormone Deficiency, Combined, 2",pituitary hormone deficiency combined 2
"Pituitary Hormone Deficiency, Combined, 4",pituitary hormone deficiency combined 4
Pituitary Neoplasms,pituitary neoplasms
Pityriasis Rubra Pilaris,pityriasis rubra pilaris
Placenta Diseases,placenta diseases
"Plagiocephaly, Nonsynostotic",plagiocephaly nonsynostotic
Plague,plague
"Plantar Lipomatosis, Unusual Facies, and Developmental Delay",plantar lipomatosis unusual facies and developmental delay
"Plaque, Amyloid",plaque amyloid
"Plaque, Atherosclerotic",plaque atherosclerotic
"Plasma Cell Granuloma, Pulmonary",plasma cell granuloma pulmonary
Plasminogen Activator Inhibitor-1 Deficiency,plasminogen activator inhibitor 1 deficiency
"Plasminogen Deficiency, Type I",plasminogen deficiency type i
Platelet-Activating Factor Acetylhydrolase Deficiency,platelet activating factor acetylhydrolase deficiency
"Platelet Disorder, Familial, with Associated Myeloid Malignancy",platelet disorder familial with associated myeloid malignancy
Platelet Glycoprotein IV Deficiency,platelet glycoprotein iv deficiency
"Platyspondylic Lethal Skeletal Dysplasia, Torrance Type",platyspondylic lethal skeletal dysplasia torrance type
Pleural Diseases,pleural diseases
Pleural Neoplasms,pleural neoplasms
Pleuropulmonary blastoma,pleuropulmonary blastoma
Pneumococcal Infections,pneumococcal infections
Pneumoconiosis,pneumoconiosis
"Pneumonia, Pneumococcal",pneumonia pneumococcal
"Pneumonia, Viral",pneumonia viral
Poikiloderma of Kindler,poikiloderma of kindler
Poikiloderma with Neutropenia,poikiloderma with neutropenia
"Polycystic Kidney, Autosomal Dominant",polycystic kidney autosomal dominant
"Polycystic Kidney, Autosomal Recessive",polycystic kidney autosomal recessive
"Polycystic Kidney Disease, Potter Type I, with Microbrachycephaly, Hypertelorism, and Brachymelia",polycystic kidney disease potter type i with microbrachycephaly hypertelorism and brachymelia
Polycystic Kidney Diseases,polycystic kidney diseases
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy,polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy
Polycystic liver disease,polycystic liver disease
Polycystic Ovary Syndrome,polycystic ovary syndrome
Polycythemia,polycythemia
"Polycythemia, primary familial and congenital",polycythemia primary familial and congenital
Polycythemia Vera,polycythemia vera
"Polydactyly, Postaxial",polydactyly postaxial
"Polydactyly, preaxial 4",polydactyly preaxial 4
"POLYDACTYLY, PREAXIAL II",polydactyly preaxial ii
"Polyendocrinopathies, Autoimmune",polyendocrinopathies autoimmune
"Polyglucosan Body Disease, Adult Form",polyglucosan body disease adult form
"Polyhydramnios, Megalencephaly, And Symptomatic Epilepsy",polyhydramnios megalencephaly and symptomatic epilepsy
"Polymicrogyria, Bilateral Frontoparietal",polymicrogyria bilateral frontoparietal
"Polymicrogyria, Bilateral Occipital",polymicrogyria bilateral occipital
Polymorphic Catecholaminergic Ventricular Tachycardia,polymorphic catecholaminergic ventricular tachycardia
Polyneuropathies,polyneuropathies
"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract",polyneuropathy hearing loss ataxia retinitis pigmentosa and cataract
Polyomavirus Infections,polyomavirus infections
"Polyostotic osteolytic dysplasia, hereditary expansile",polyostotic osteolytic dysplasia hereditary expansile
Polyploidy,polyploidy
"Polyposis Syndrome, Hereditary Mixed, 2",polyposis syndrome hereditary mixed 2
Polyps,polyps
Pontocerebellar Hypoplasia,pontocerebellar hypoplasia
Pontocerebellar Hypoplasia Type 1,pontocerebellar hypoplasia type 1
"PONTOCEREBELLAR HYPOPLASIA, TYPE 10",pontocerebellar hypoplasia type 10
"PONTOCEREBELLAR HYPOPLASIA, TYPE 1B",pontocerebellar hypoplasia type 1b
"PONTOCEREBELLAR HYPOPLASIA, TYPE 1C",pontocerebellar hypoplasia type 1c
Pontocerebellar Hypoplasia Type 2A,pontocerebellar hypoplasia type 2a
Pontocerebellar Hypoplasia Type 2B,pontocerebellar hypoplasia type 2b
Pontocerebellar Hypoplasia Type 2C,pontocerebellar hypoplasia type 2c
"PONTOCEREBELLAR HYPOPLASIA, TYPE 2D",pontocerebellar hypoplasia type 2d
"PONTOCEREBELLAR HYPOPLASIA, TYPE 2E",pontocerebellar hypoplasia type 2e
"PONTOCEREBELLAR HYPOPLASIA, TYPE 2F",pontocerebellar hypoplasia type 2f
Pontocerebellar Hypoplasia Type 3,pontocerebellar hypoplasia type 3
"PONTOCEREBELLAR HYPOPLASIA, TYPE 4",pontocerebellar hypoplasia type 4
Pontocerebellar Hypoplasia Type 6,pontocerebellar hypoplasia type 6
"PONTOCEREBELLAR HYPOPLASIA, TYPE 7",pontocerebellar hypoplasia type 7
"PONTOCEREBELLAR HYPOPLASIA, TYPE 8",pontocerebellar hypoplasia type 8
"PONTOCEREBELLAR HYPOPLASIA, TYPE 9",pontocerebellar hypoplasia type 9
Popliteal Pterygium Syndrome,popliteal pterygium syndrome
"Popliteal Pterygium Syndrome, Lethal Type",popliteal pterygium syndrome lethal type
Porencephaly,porencephaly
"POROKERATOSIS 1, MULTIPLE TYPES",porokeratosis 1 multiple types
"POROKERATOSIS 7, MULTIPLE TYPES",porokeratosis 7 multiple types
"POROKERATOSIS 8, DISSEMINATED SUPERFICIAL ACTINIC TYPE",porokeratosis 8 disseminated superficial actinic type
"POROKERATOSIS 9, MULTIPLE TYPES",porokeratosis 9 multiple types
"Porokeratosis, disseminated superficial actinic 1",porokeratosis disseminated superficial actinic 1
"Porphyria, Acute Hepatic",porphyria acute hepatic
"Porphyria, Acute Intermittent",porphyria acute intermittent
Porphyria Cutanea Tarda,porphyria cutanea tarda
"Porphyria, Erythropoietic",porphyria erythropoietic
"Porphyria, Variegate",porphyria variegate
Porphyrias,porphyrias
"Porphyrias, Hepatic",porphyrias hepatic
Port-Wine Stain,port wine stain
Posterior column ataxia with retinitis pigmentosa,posterior column ataxia with retinitis pigmentosa
Posterior Leukoencephalopathy Syndrome,posterior leukoencephalopathy syndrome
Postoperative Complications,postoperative complications
Potassium aggravated myotonia,potassium aggravated myotonia
Potocki-Lupski syndrome,potocki lupski syndrome
Prader-Willi Syndrome,prader willi syndrome
Pre-Eclampsia,pre eclampsia
"Preaxial deficiency, postaxial polydactyly and hypospadias",preaxial deficiency postaxial polydactyly and hypospadias
Precancerous Conditions,precancerous conditions
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,precursor b cell lymphoblastic leukemia lymphoma
Precursor Cell Lymphoblastic Leukemia-Lymphoma,precursor cell lymphoblastic leukemia lymphoma
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,precursor t cell lymphoblastic leukemia lymphoma
Preeclampsia Eclampsia 4,preeclampsia eclampsia 4
Pregnancy Complications,pregnancy complications
"Pregnancy Complications, Cardiovascular",pregnancy complications cardiovascular
"Pregnancy, Ectopic",pregnancy ectopic
"PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 1",pregnancy loss recurrent susceptibility to 1
"PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 2",pregnancy loss recurrent susceptibility to 2
"PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 3",pregnancy loss recurrent susceptibility to 3
Prekallikrein Deficiency,prekallikrein deficiency
Premature Birth,premature birth
PREMATURE CHROMATID SEPARATION TRAIT,premature chromatid separation trait
PREMATURE OVARIAN FAILURE 10,premature ovarian failure 10
PREMATURE OVARIAN FAILURE 11,premature ovarian failure 11
PREMATURE OVARIAN FAILURE 12,premature ovarian failure 12
PREMATURE OVARIAN FAILURE 13,premature ovarian failure 13
Premature Ovarian Failure 2a,premature ovarian failure 2a
Premature Ovarian Failure 2b,premature ovarian failure 2b
Premature Ovarian Failure 3,premature ovarian failure 3
Premature Ovarian Failure 5,premature ovarian failure 5
Premature Ovarian Failure 6,premature ovarian failure 6
Premature Ovarian Failure 7,premature ovarian failure 7
PREMATURE OVARIAN FAILURE 8,premature ovarian failure 8
PREMATURE OVARIAN FAILURE 9,premature ovarian failure 9
Prenatal Exposure Delayed Effects,prenatal exposure delayed effects
Prenatal Injuries,prenatal injuries
Presentey Anomaly,presentey anomaly
Preterm Premature Rupture of the Membranes,preterm premature rupture of the membranes
Prickle1-Related Progressive Myoclonic Epilepsy with Ataxia,prickle1 related progressive myoclonic epilepsy with ataxia
Prieto X-linked mental retardation syndrome,prieto x linked mental retardation syndrome
"Primary ciliary dyskinesia, 2",primary ciliary dyskinesia 2
"Primary ciliary dyskinesia, 3",primary ciliary dyskinesia 3
Primary Dysautonomias,primary dysautonomias
Primary Graft Dysfunction,primary graft dysfunction
Primary hyperoxaluria type 1,primary hyperoxaluria type 1
Primary hyperoxaluria type 2,primary hyperoxaluria type 2
Primary lateral sclerosis juvenile,primary lateral sclerosis juvenile
Primary Myelofibrosis,primary myelofibrosis
Primary Ovarian Insufficiency,primary ovarian insufficiency
Primrose syndrome,primrose syndrome
Prion Diseases,prion diseases
Progeria,progeria
Progesterone Resistance,progesterone resistance
"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 1",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal dominant 1
"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 2",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal dominant 2
"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 3",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal dominant 3
"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 4",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal dominant 4
"Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 5",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal dominant 5
"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 6",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal dominant 6
"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Recessive",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal recessive
"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 2",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal recessive 2
"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 3",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal recessive 3
"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 4",progressive external ophthalmoplegia with mitochondrial dna deletions autosomal recessive 4
"PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA",progressive familial heart block type ia
"Progressive Familial Heart Block, Type Ib",progressive familial heart block type ib
Progressive hearing loss stapes fixation,progressive hearing loss stapes fixation
Progressive supranuclear palsy atypical,progressive supranuclear palsy atypical
Prolactinoma,prolactinoma
Prolidase Deficiency,prolidase deficiency
Prolonged Electroretinal Response Suppression,prolonged electroretinal response suppression
Proopiomelanocortin Deficiency,proopiomelanocortin deficiency
"Properdin deficiency, X-linked",properdin deficiency x linked
Propionic Acidemia,propionic acidemia
Propping Zerres syndrome,propping zerres syndrome
Proprotein Convertase 1 3 Deficiency,proprotein convertase 1 3 deficiency
PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY,prostate cancer brain cancer susceptibility
"Prostate cancer, familial",prostate cancer familial
"Prostate Cancer, Hereditary, 12",prostate cancer hereditary 12
"Prostate Cancer, Hereditary, 13",prostate cancer hereditary 13
"Prostate Cancer, Hereditary, 9",prostate cancer hereditary 9
Prostatic Diseases,prostatic diseases
Prostatic Hyperplasia,prostatic hyperplasia
Prostatic Intraepithelial Neoplasia,prostatic intraepithelial neoplasia
Prostatic Neoplasms,prostatic neoplasms
"Prostatic Neoplasms, Castration-Resistant",prostatic neoplasms castration resistant
PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 1,proteasome associated autoinflammatory syndrome 1
"Protein Aggregation, Pathological",protein aggregation pathological
Protein C Deficiency,protein c deficiency
Protein Deficiency,protein deficiency
Protein-Losing Enteropathies,protein losing enteropathies
Proteus Syndrome,proteus syndrome
"PROTHROMBIN DEFICIENCY, CONGENITAL",prothrombin deficiency congenital
"Protoporphyria, Erythropoietic",protoporphyria erythropoietic
"PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED",protoporphyria erythropoietic x linked
Proud Syndrome,proud syndrome
Prune Belly Syndrome,prune belly syndrome
PSEUDO-TORCH SYNDROME 1,pseudo torch syndrome 1
Pseudoachondroplasia,pseudoachondroplasia
pseudofolliculitis barbae,pseudofolliculitis barbae
Pseudohyperkalemia Cardiff,pseudohyperkalemia cardiff
"Pseudohyperkalemia, Familial, 2, due to Red Cell Leak",pseudohyperkalemia familial 2 due to red cell leak
Pseudohypoaldosteronism,pseudohypoaldosteronism
"Pseudohypoaldosteronism, Type IIb",pseudohypoaldosteronism type iib
"Pseudohypoaldosteronism, Type IIc",pseudohypoaldosteronism type iic
"PSEUDOHYPOALDOSTERONISM, TYPE IID",pseudohypoaldosteronism type iid
"PSEUDOHYPOALDOSTERONISM, TYPE IIE",pseudohypoaldosteronism type iie
Pseudohypoparathyroidism,pseudohypoparathyroidism
Pseudomonas Infections,pseudomonas infections
Pseudopseudohypoparathyroidism,pseudopseudohypoparathyroidism
Pseudovaginal Perineoscrotal Hypospadias,pseudovaginal perineoscrotal hypospadias
Pseudoxanthoma Elasticum,pseudoxanthoma elasticum
Pseudoxanthoma Elasticum-Like Disorder with Multiple Coagulation Factor Deficiency,pseudoxanthoma elasticum like disorder with multiple coagulation factor deficiency
Psychomotor Agitation,psychomotor agitation
Psychomotor Disorders,psychomotor disorders
"Psychoses, Substance-Induced",psychoses substance induced
Psychotic Disorders,psychotic disorders
"Puberty, Delayed",puberty delayed
"Puberty, Precocious",puberty precocious
Puerperal Disorders,puerperal disorders
Pulmonary Alveolar Microlithiasis,pulmonary alveolar microlithiasis
Pulmonary Alveolar Proteinosis,pulmonary alveolar proteinosis
"Pulmonary Disease, Chronic Obstructive",pulmonary disease chronic obstructive
Pulmonary Edema,pulmonary edema
Pulmonary edema of mountaineers,pulmonary edema of mountaineers
Pulmonary Emphysema,pulmonary emphysema
"PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE SYNDROME, TELOMERE-RELATED, 1",pulmonary fibrosis and or bone marrow failure syndrome telomere related 1
"PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE SYNDROME, TELOMERE-RELATED, 2",pulmonary fibrosis and or bone marrow failure syndrome telomere related 2
"PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE SYNDROME, TELOMERE-RELATED, 3",pulmonary fibrosis and or bone marrow failure syndrome telomere related 3
"PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE SYNDROME, TELOMERE-RELATED, 4",pulmonary fibrosis and or bone marrow failure syndrome telomere related 4
Pulmonary Veno-Occlusive Disease,pulmonary veno occlusive disease
Purine Nucleoside Phosphorylase Deficiency,purine nucleoside phosphorylase deficiency
"Purine-Pyrimidine Metabolism, Inborn Errors",purine pyrimidine metabolism inborn errors
"Purpura, Thrombocytopenic, Idiopathic",purpura thrombocytopenic idiopathic
"Purpura, Thrombotic Thrombocytopenic",purpura thrombotic thrombocytopenic
Pycnodysostosis,pycnodysostosis
Pyle disease,pyle disease
Pyloric Atresia,pyloric atresia
"Pyogenic arthritis, pyoderma gangrenosum, and acne",pyogenic arthritis pyoderma gangrenosum and acne
Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency,pyridoxamine 5 prime phosphate oxidase deficiency
Pyridoxine-dependent epilepsy,pyridoxine dependent epilepsy
"Pyropoikilocytosis, Hereditary",pyropoikilocytosis hereditary
Pyruvate Carboxylase Deficiency Disease,pyruvate carboxylase deficiency disease
Pyruvate Dehydrogenase Complex Deficiency Disease,pyruvate dehydrogenase complex deficiency disease
Pyruvate Dehydrogenase E1-Beta Deficiency,pyruvate dehydrogenase e1 beta deficiency
Pyruvate Dehydrogenase E2 Deficiency,pyruvate dehydrogenase e2 deficiency
Pyruvate Dehydrogenase E3-Binding Protein Deficiency,pyruvate dehydrogenase e3 binding protein deficiency
Pyruvate dehydrogenase phosphatase deficiency,pyruvate dehydrogenase phosphatase deficiency
Pyruvate Kinase Deficiency of Red Cells,pyruvate kinase deficiency of red cells
"Pyruvate Metabolism, Inborn Errors",pyruvate metabolism inborn errors
Q Fever,q fever
Quebec platelet disorder,quebec platelet disorder
Radiation Injuries,radiation injuries
"Radiation Injuries, Experimental",radiation injuries experimental
Radioulnar Synostosis with Amegakaryocytic Thrombocytopenia,radioulnar synostosis with amegakaryocytic thrombocytopenia
RAFIQ SYNDROME,rafiq syndrome
Raine syndrome,raine syndrome
RAJAB INTERSTITIAL LUNG DISEASE WITH BRAIN CALCIFICATIONS 1,rajab interstitial lung disease with brain calcifications 1
Rapadilino syndrome,rapadilino syndrome
Rapp-Hodgkin syndrome,rapp hodgkin syndrome
RAYNAUD-CLAES SYNDROME,raynaud claes syndrome
Raynaud Disease,raynaud disease
Rectal Neoplasms,rectal neoplasms
Recurrence,recurrence
"Reflex, Abnormal",reflex abnormal
Refractive Errors,refractive errors
Refsum Disease,refsum disease
"Refsum Disease, Infantile",refsum disease infantile
Renal cysts and diabetes syndrome,renal cysts and diabetes syndrome
RENAL-HEPATIC-PANCREATIC DYSPLASIA 1,renal hepatic pancreatic dysplasia 1
Renal hepatic pancreatic dysplasia Dandy Walker cyst,renal hepatic pancreatic dysplasia dandy walker cyst
"Renal Hypodysplasia, Nonsyndromic, 1",renal hypodysplasia nonsyndromic 1
Renal hypouricemia,renal hypouricemia
Renal Insufficiency,renal insufficiency
"Renal Insufficiency, Chronic",renal insufficiency chronic
"Renal tubular acidosis, distal, autosomal recessive",renal tubular acidosis distal autosomal recessive
"Renal Tubular Acidosis, Distal, With Hemolytic Anemia",renal tubular acidosis distal with hemolytic anemia
"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",renal tubular acidosis distal with progressive nerve deafness
"Renal Tubular Acidosis, Proximal, With Ocular Abnormalities And Mental Retardation",renal tubular acidosis proximal with ocular abnormalities and mental retardation
RENAL TUBULAR DYSGENESIS,renal tubular dysgenesis
Renpenning syndrome 1,renpenning syndrome 1
Reperfusion Injury,reperfusion injury
Respiration Disorders,respiration disorders
Respiratory Distress Syndrome,respiratory distress syndrome
"Respiratory Distress Syndrome, Newborn",respiratory distress syndrome newborn
Respiratory Hypersensitivity,respiratory hypersensitivity
Respiratory Insufficiency,respiratory insufficiency
Respiratory Sounds,respiratory sounds
Respiratory Syncytial Virus Infections,respiratory syncytial virus infections
Respiratory System Abnormalities,respiratory system abnormalities
Respiratory Tract Diseases,respiratory tract diseases
Respiratory Tract Infections,respiratory tract infections
Reticular dysgenesis,reticular dysgenesis
"Reticuloendotheliosis, familial, with eosinophilia",reticuloendotheliosis familial with eosinophilia
"RETINAL ARTERIES, TORTUOSITY OF",retinal arteries tortuosity of
Retinal cone dystrophy 2,retinal cone dystrophy 2
Retinal Cone Dystrophy 3A,retinal cone dystrophy 3a
Retinal Cone Dystrophy 3B,retinal cone dystrophy 3b
Retinal Cone Dystrophy 4,retinal cone dystrophy 4
Retinal Diseases,retinal diseases
Retinal Dysplasia,retinal dysplasia
Retinal Dystrophies,retinal dystrophies
RETINAL DYSTROPHY AND IRIS COLOBOMA WITH OR WITHOUT CATARACT,retinal dystrophy and iris coloboma with or without cataract
RETINAL DYSTROPHY AND OBESITY,retinal dystrophy and obesity
"RETINAL DYSTROPHY, IRIS COLOBOMA, AND COMEDOGENIC ACNE SYNDROME",retinal dystrophy iris coloboma and comedogenic acne syndrome
"RETINAL DYSTROPHY, JUVENILE CATARACTS, AND SHORT STATURE SYNDROME",retinal dystrophy juvenile cataracts and short stature syndrome
RETINAL DYSTROPHY WITH INNER RETINAL DYSFUNCTION AND GANGLION CELL ABNORMALITIES,retinal dystrophy with inner retinal dysfunction and ganglion cell abnormalities
RETINAL DYSTROPHY WITH OR WITHOUT EXTRAOCULAR ANOMALIES,retinal dystrophy with or without extraocular anomalies
Retinal Neovascularization,retinal neovascularization
"Retinal Nonattachment, Nonsyndromic Congenital",retinal nonattachment nonsyndromic congenital
Retinal Telangiectasis,retinal telangiectasis
Retinitis Pigmentosa,retinitis pigmentosa
Retinitis pigmentosa 1,retinitis pigmentosa 1
Retinitis Pigmentosa 10,retinitis pigmentosa 10
Retinitis Pigmentosa 11,retinitis pigmentosa 11
Retinitis Pigmentosa 12,retinitis pigmentosa 12
Retinitis Pigmentosa 13,retinitis pigmentosa 13
Retinitis Pigmentosa 14,retinitis pigmentosa 14
Retinitis Pigmentosa 18,retinitis pigmentosa 18
Retinitis Pigmentosa 19,retinitis pigmentosa 19
Retinitis Pigmentosa 2,retinitis pigmentosa 2
