DiseaseName_raw,DiseaseName_norm,mapped_adr_id,mapped_adr_name,GeneSymbol,DiseaseID,DirectEvidence,PubMedIDs
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,ABCC2,MESH:D064420,marker/mechanism,20216337|23222202|25007187|32387182
Esophageal Squamous Cell Carcinoma,esophageal squamous cell carcinoma,,,ABCC2,MESH:D000077277,marker/mechanism,21206495
Gastrointestinal Diseases,gastrointestinal diseases,,,ABCC2,MESH:D005767,marker/mechanism,18381794
Heart Diseases,heart diseases,,,ABCC2,MESH:D006331,marker/mechanism,16330681
Hyperbilirubinemia,hyperbilirubinemia,,,ABCC2,MESH:D006932,marker/mechanism,16611851
"Jaundice, Chronic Idiopathic",jaundice chronic idiopathic,,,ABCC2,MESH:D007566,marker/mechanism,16952291
"Liver Cirrhosis, Biliary",liver cirrhosis biliary,,,ABCC2,MESH:D008105,marker/mechanism,15542527
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,ABCC2,MESH:D008106,marker/mechanism,25380136
Nervous System Diseases,nervous system diseases,,,ABCC2,MESH:D009422,marker/mechanism,21064136
Non-alcoholic Fatty Liver Disease,non alcoholic fatty liver disease,,,ABCC2,MESH:D065626,marker/mechanism,29341352
Seizures,seizures,,,ABCC2,MESH:D012640,marker/mechanism,16504477
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,ABCC2,MESH:D000077195,marker/mechanism,25275603
Status Epilepticus,status epilepticus,C0038220,Status epilepticus,ABCC2,MESH:D013226,marker/mechanism,16504477
"Arthritis, Rheumatoid",arthritis rheumatoid,,,ABCC3,MESH:D001172,marker/mechanism,23897011
Autism Spectrum Disorder,autism spectrum disorder,,,ABCC3,MESH:D000067877,marker/mechanism,35663546
Cholestasis,cholestasis,C0008370,Cholestasis,ABCC3,MESH:D002779,marker/mechanism,22461449
Colorectal Neoplasms,colorectal neoplasms,,,ABCC3,MESH:D015179,marker/mechanism,22294766
Hepatomegaly,hepatomegaly,C0019209,Hepatomegaly,ABCC3,MESH:D006529,marker/mechanism,28108177
"Arthritis, Rheumatoid",arthritis rheumatoid,,,ABCC4,MESH:D001172,marker/mechanism,23897011
Cognition Disorders,cognition disorders,,,ABCC4,MESH:D003072,marker/mechanism,29382564
Colorectal Neoplasms,colorectal neoplasms,,,ABCC4,MESH:D015179,marker/mechanism,22294766
Diabetes Complications,diabetes complications,,,ABCC4,MESH:D048909,marker/mechanism,29382564
Drug-Related Side Effects and Adverse Reactions,drug related side effects and adverse reactions,,,ABCC4,MESH:D064420,marker/mechanism,23222202
Endometriosis,endometriosis,C0014175,Endometriosis,ABCC4,MESH:D004715,marker/mechanism,25446850
Neoplasm Metastasis,neoplasm metastasis,,,ABCC4,MESH:D009362,marker/mechanism,17003774
