DiseaseName_raw,DiseaseName_norm,mapped_adr_id,mapped_adr_name,GeneSymbol,DiseaseID,DirectEvidence,PubMedIDs
MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 3,multiple congenital anomalies hypotonia seizures syndrome 3,,,PIGT,OMIM:615398,marker/mechanism,
Desbuquois syndrome,desbuquois syndrome,,,PIGV,MESH:C535943,marker/mechanism,
Hyperphosphatasia with Mental Retardation,hyperphosphatasia with mental retardation,,,PIGV,MESH:C565495,marker/mechanism,20802478
Hyperphosphatasia with Mental Retardation,hyperphosphatasia with mental retardation,,,PIGW,MESH:C565495,marker/mechanism,
Infertility,infertility,C0021359,Infertility,PIGW-1,MESH:D007246,marker/mechanism,25204677
Hyperphosphatasia with Mental Retardation,hyperphosphatasia with mental retardation,,,PIGY,MESH:C565495,marker/mechanism,
Neoplasm Metastasis,neoplasm metastasis,,,PIK3C2B,MESH:D009362,marker/mechanism,21986133
Adenocarcinoma,adenocarcinoma,C0001418,Adenocarcinoma,PIK3CA,MESH:D000230,marker/mechanism,22484628
Adenocarcinoma Of Esophagus,adenocarcinoma of esophagus,,,PIK3CA,MESH:C562730,marker/mechanism,23525077
Adenocarcinoma of Lung,adenocarcinoma of lung,,,PIK3CA,MESH:D000077192,marker/mechanism,22135231
Breast Neoplasms,breast neoplasms,,,PIK3CA,MESH:D001943,marker/mechanism,19196980|19685490|20479250|21633166|22370636|25267515|25358515|26587011
"Carcinoma, Adenoid Cystic",carcinoma adenoid cystic,,,PIK3CA,MESH:D003528,marker/mechanism,23685749
"Carcinoma, Basal Cell",carcinoma basal cell,,,PIK3CA,MESH:D002280,marker/mechanism,26950094
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,PIK3CA,MESH:D006528,marker/mechanism,
"Carcinoma, Renal Cell",carcinoma renal cell,,,PIK3CA,MESH:D002292,marker/mechanism,23797736
"Carcinoma, Squamous Cell",carcinoma squamous cell,,,PIK3CA,MESH:D002294,marker/mechanism,24224046
Colorectal Neoplasms,colorectal neoplasms,,,PIK3CA,MESH:D015179,marker/mechanism,
"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi",congenital lipomatous overgrowth vascular malformations and epidermal nevi,,,PIK3CA,MESH:C567863,marker/mechanism,
COWDEN SYNDROME 5,cowden syndrome 5,,,PIK3CA,OMIM:615108,marker/mechanism,
Disease Progression,disease progression,C0242656,Disease progression,PIK3CA,MESH:D018450,marker/mechanism,29106415
Epidermal Nevus,epidermal nevus,,,PIK3CA,MESH:C580062,marker/mechanism,
Growth Disorders,growth disorders,,,PIK3CA,MESH:D006130,marker/mechanism,22729222
Hyperplasia,hyperplasia,C0020507,Hyperplasia,PIK3CA,MESH:D006965,marker/mechanism,22729222
"Keratosis, Seborrheic",keratosis seborrheic,,,PIK3CA,MESH:D017492,marker/mechanism,
Lung Neoplasms,lung neoplasms,,,PIK3CA,MESH:D008175,marker/mechanism,
"Lymphoma, Large B-Cell, Diffuse",lymphoma large b cell diffuse,,,PIK3CA,MESH:D016403,marker/mechanism,21173233
Malformations of Cortical Development,malformations of cortical development,,,PIK3CA,MESH:D054220,marker/mechanism,22729223
Megalancephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome,megalancephaly polymicrogyria polydactyly hydrocephalus syndrome,,,PIK3CA,MESH:C566381,marker/mechanism,22729224
Mouth Neoplasms,mouth neoplasms,,,PIK3CA,MESH:D009062,marker/mechanism,24224046
Nasopharyngeal Carcinoma,nasopharyngeal carcinoma,,,PIK3CA,MESH:D000077274,marker/mechanism,24952746
Neoplasm Metastasis,neoplasm metastasis,,,PIK3CA,MESH:D009362,marker/mechanism,29106415
Ovarian Neoplasms,ovarian neoplasms,,,PIK3CA,MESH:D010051,marker/mechanism,
Penile Neoplasms,penile neoplasms,,,PIK3CA,MESH:D010412,marker/mechanism,18355852
Prostatic Neoplasms,prostatic neoplasms,,,PIK3CA,MESH:D011471,marker/mechanism,17013881|29610475
Sarcoma,sarcoma,C1261473,Sarcoma,PIK3CA,MESH:D012509,marker/mechanism,20601955
Squamous Cell Carcinoma of Head and Neck,squamous cell carcinoma of head and neck,,,PIK3CA,MESH:D000077195,marker/mechanism,23873848
Stomach Neoplasms,stomach neoplasms,,,PIK3CA,MESH:D013274,marker/mechanism,22484628
"Ventricular Dysfunction, Left",ventricular dysfunction left,,,PIK3CA,MESH:D018487,therapeutic,31025080
Weight Gain,weight gain,,,PIK3CA,MESH:D015430,marker/mechanism,19030233
"Lymphoma, Large B-Cell, Diffuse",lymphoma large b cell diffuse,,,PIK3CB,MESH:D016403,marker/mechanism,21173233
Prostatic Neoplasms,prostatic neoplasms,,,PIK3CB,MESH:D011471,marker/mechanism,29610475
Schizophrenia,schizophrenia,C0036341,Schizophrenia,PIK3CB,MESH:D012559,marker/mechanism,21743468
"IMMUNODEFICIENCY 14A WITH LYMPHOPROLIFERATION, AUTOSOMAL DOMINANT",immunodeficiency 14a with lymphoproliferation autosomal dominant,,,PIK3CD,OMIM:615513,marker/mechanism,
"Lymphoma, Large B-Cell, Diffuse",lymphoma large b cell diffuse,,,PIK3CD,MESH:D016403,marker/mechanism,21173233
"Lymphoma, Mantle-Cell",lymphoma mantle cell,,,PIK3CD,MESH:D020522,marker/mechanism,23676220
Prostatic Neoplasms,prostatic neoplasms,,,PIK3CD,MESH:D011471,marker/mechanism,17199135
Roifman-Chitayat Syndrome,roifman chitayat syndrome,,,PIK3CD,MESH:C567641,marker/mechanism,
Autistic Disorder,autistic disorder,,,PIK3CG,MESH:D001321,marker/mechanism,14627686
Cardiomegaly,cardiomegaly,C0018800,Cardiomegaly,PIK3CG,MESH:D006332,marker/mechanism,12963636
"Diabetes Mellitus, Type 2",diabetes mellitus type 2,,,PIK3CG,MESH:D003924,marker/mechanism,31626838
Fibrosis,fibrosis,C0016059,Fibrosis,PIK3CG,MESH:D005355,marker/mechanism,12963636
Heart Failure,heart failure,,,PIK3CG,MESH:D006333,marker/mechanism,12963636
"Lymphoma, Large B-Cell, Diffuse",lymphoma large b cell diffuse,,,PIK3CG,MESH:D016403,marker/mechanism,21173233
Medulloblastoma,medulloblastoma,,,PIK3CG,MESH:D008527,marker/mechanism,21652733
"Heart Failure, Diastolic",heart failure diastolic,,,PIK3IP1,MESH:D054144,marker/mechanism,29556499
"AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE",agammaglobulinemia 7 autosomal recessive,,,PIK3R1,OMIM:615214,marker/mechanism,
Burkitt Lymphoma,burkitt lymphoma,,,PIK3R1,MESH:D002051,marker/mechanism,23143597
Carcinoma,carcinoma,,,PIK3R1,MESH:D002277,marker/mechanism,12606953
Desbuquois syndrome,desbuquois syndrome,,,PIK3R1,MESH:C535943,marker/mechanism,
Glucose Intolerance,glucose intolerance,,,PIK3R1,MESH:D018149,therapeutic,33567340
IMMUNODEFICIENCY 36 WITH LYMPHOPROLIFERATION,immunodeficiency 36 with lymphoproliferation,,,PIK3R1,OMIM:616005,marker/mechanism,
Insulin Resistance,insulin resistance,C0021655,Insulin resistance,PIK3R1,MESH:D007333,marker/mechanism,14714311
"Mammary Neoplasms, Animal",mammary neoplasms animal,,,PIK3R1,MESH:D015674,marker/mechanism,12606953
"Mammary Neoplasms, Experimental",mammary neoplasms experimental,,,PIK3R1,MESH:D008325,marker/mechanism,12606953
Prostatic Neoplasms,prostatic neoplasms,,,PIK3R1,MESH:D011471,marker/mechanism,29610475|29662167|33129824
SHORT syndrome,short syndrome,,,PIK3R1,MESH:C537327,marker/mechanism,
Vitiligo,vitiligo,C0042900,Vitiligo,PIK3R1,MESH:D014820,marker/mechanism,28836394
Megalancephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome,megalancephaly polymicrogyria polydactyly hydrocephalus syndrome,,,PIK3R2,MESH:C566381,marker/mechanism,22729224
Prostatic Neoplasms,prostatic neoplasms,,,PIK3R2,MESH:D011471,marker/mechanism,29610475
ATAXIA-OCULOMOTOR APRAXIA 3,ataxia oculomotor apraxia 3,,,PIK3R5,OMIM:615217,marker/mechanism,
"Corneal Dystrophy, Fleck",corneal dystrophy fleck,,,PIKFYVE,MESH:C563256,marker/mechanism,
Alzheimer Disease,alzheimer disease,,,PILRA,MESH:D000544,marker/mechanism,33589840
Breast Neoplasms,breast neoplasms,,,PIM1,MESH:D001943,marker/mechanism,16298037
"Cell Transformation, Neoplastic",cell transformation neoplastic,,,PIM1,MESH:D002471,marker/mechanism,23565217
"Dermatitis, Allergic Contact",dermatitis allergic contact,,,PIM1,MESH:D017449,marker/mechanism,16033404
"Disease Models, Animal",disease models animal,,,PIM1,MESH:D004195,marker/mechanism,25812446
Glioblastoma,glioblastoma,C0017636,Glioblastoma,PIM1,MESH:D005909,marker/mechanism,23724780
"Hernias, Diaphragmatic, Congenital",hernias diaphragmatic congenital,,,PIM1,MESH:D065630,marker/mechanism,25812446
Precancerous Conditions,precancerous conditions,,,PIM1,MESH:D011230,marker/mechanism,26297436
Prostatic Intraepithelial Neoplasia,prostatic intraepithelial neoplasia,,,PIM1,MESH:D019048,marker/mechanism,23565217
Pyelonephritis,pyelonephritis,C0034186,Pyelonephritis,PIM1,MESH:D011704,marker/mechanism,23565217
"Leukemia, Myeloid, Acute",leukemia myeloid acute,,,PIM2,MESH:D015470,marker/mechanism,19458359
Breast Neoplasms,breast neoplasms,,,PIN1,MESH:D001943,marker/mechanism,19671742|19681904|32621833
Disease Progression,disease progression,C0242656,Disease progression,PIN1,MESH:D018450,marker/mechanism,32621833
Cognition Disorders,cognition disorders,,,PINK1,MESH:D003072,marker/mechanism,36804394
Nerve Degeneration,nerve degeneration,,,PINK1,MESH:D009410,marker/mechanism,24161480
Neuroblastoma,neuroblastoma,,,PINK1,MESH:D009447,marker/mechanism,23334666
Parkinson Disease,parkinson disease,,,PINK1,MESH:D010300,marker/mechanism,17010972|21366594|22043175|24374061|25149416|30734931
"Parkinson Disease 6, Autosomal Recessive Early-Onset",parkinson disease 6 autosomal recessive early onset,,,PINK1,MESH:C565276,marker/mechanism,19048950|21421046|24475098|27003823
Parkinsonian Disorders,parkinsonian disorders,,,PINK1,MESH:D020734,marker/mechanism,11254447|15349871|23046578|24441527|24792327|26558463
Reperfusion Injury,reperfusion injury,,,PINK1,MESH:D015427,marker/mechanism,35312153
Sinusitis,sinusitis,C0037199,Sinusitis,PIP,MESH:D012852,marker/mechanism,18391768
Melanoma,melanoma,,,PIP4K2A,MESH:D008545,marker/mechanism,22535842
Lymphatic Metastasis,lymphatic metastasis,,,PIP5K1A,MESH:D008207,marker/mechanism,34755307
Neoplasm Invasiveness,neoplasm invasiveness,,,PIP5K1A,MESH:D009361,marker/mechanism,34755307
"Neoplasms, Experimental",neoplasms experimental,,,PIP5K1A,MESH:D009374,marker/mechanism,34755307
Urinary Bladder Neoplasms,urinary bladder neoplasms,,,PIP5K1A,MESH:D001749,marker/mechanism,34755307
Lethal Congenital Contractural Syndrome 3,lethal congenital contractural syndrome 3,,,PIP5K1C,MESH:C566961,marker/mechanism,
Peroxisomal Disorders,peroxisomal disorders,,,PIPOX,MESH:D018901,marker/mechanism,10642506
"Dermatitis, Contact",dermatitis contact,C0011616,Dermatitis contact,PIR,MESH:D003877,marker/mechanism,25724174
Lung Diseases,lung diseases,,,PIRA2,MESH:D008171,marker/mechanism,21602193
Desbuquois syndrome,desbuquois syndrome,,,PISD,MESH:C535943,marker/mechanism,
Schizophrenia,schizophrenia,C0036341,Schizophrenia,PITPNM1,MESH:D012559,marker/mechanism,21822266
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,PITPNM3,MESH:D006528,marker/mechanism,28284560
Cone-Rod Dystrophy 5,cone rod dystrophy 5,,,PITPNM3,MESH:C563415,marker/mechanism,
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,PITPNM3,MESH:C538365,marker/mechanism,
Tobacco Use Disorder,tobacco use disorder,,,PITRM1,MESH:D014029,marker/mechanism,29216386
Autistic Disorder,autistic disorder,,,PITX1,MESH:D001321,marker/mechanism,18053270
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,PITX1,MESH:D006528,marker/mechanism,28284560
Clubfoot,clubfoot,,,PITX1,MESH:D003025,marker/mechanism,
Desbuquois syndrome,desbuquois syndrome,,,PITX1,MESH:C535943,marker/mechanism,
Testicular Germ Cell Tumor,testicular germ cell tumor,,,PITX1,MESH:C563236,marker/mechanism,23666240
Atrial Fibrillation,atrial fibrillation,C0004238,Atrial fibrillation,PITX2,MESH:D001281,marker/mechanism,30061737
"AXENFELD-RIEGER SYNDROME, TYPE 1",axenfeld rieger syndrome type 1,,,PITX2,OMIM:180500,marker/mechanism,10502778|10644443|14623826|14630904|15378534
Craniofacial Abnormalities,craniofacial abnormalities,,,PITX2,MESH:D019465,marker/mechanism,10499585|14623826
Desbuquois syndrome,desbuquois syndrome,,,PITX2,MESH:C535943,marker/mechanism,
"Heart Defects, Congenital",heart defects congenital,,,PITX2,MESH:D006330,marker/mechanism,10499585
"Iridogoniodysgenesis, dominant type",iridogoniodysgenesis dominant type,,,PITX2,MESH:C535536,marker/mechanism,10502778
Ring dermoid of cornea,ring dermoid of cornea,,,PITX2,MESH:C535684,marker/mechanism,
Stroke,stroke,,,PITX2,MESH:D020521,marker/mechanism,29531354
Tooth Abnormalities,tooth abnormalities,,,PITX2,MESH:D014071,marker/mechanism,10499585
Anterior segment mesenchymal dysgenesis,anterior segment mesenchymal dysgenesis,,,PITX3,MESH:C537775,marker/mechanism,18989383|9620774
Cataract,cataract,C0086543,Cataract,PITX3,MESH:D002386,marker/mechanism,16565358|9620774
"Cataract, posterior polar, 4",cataract posterior polar 4,,,PITX3,MESH:C535344,marker/mechanism,15286169
Microphthalmos,microphthalmos,,,PITX3,MESH:D008850,marker/mechanism,16565358
"Neoplasm Recurrence, Local",neoplasm recurrence local,,,PITX3,MESH:D009364,marker/mechanism,27415467
Neurologic Manifestations,neurologic manifestations,,,PITX3,MESH:D009461,marker/mechanism,16565358
Prostatic Neoplasms,prostatic neoplasms,,,PITX3,MESH:D011471,marker/mechanism,27415467
Substance-Related Disorders,substance related disorders,,,PIWIL1,MESH:D019966,marker/mechanism,20098672
Celiac Disease,celiac disease,,,PIWIL2,MESH:D002446,marker/mechanism,30097691
Oligospermia,oligospermia,,,PIWIL3,MESH:D009845,marker/mechanism,20940137
Oligospermia,oligospermia,,,PIWIL4,MESH:D009845,marker/mechanism,20940137
Craniofrontonasal dysplasia,craniofrontonasal dysplasia,,,PJA1,MESH:C536456,marker/mechanism,17941886
Deafness,deafness,C0011053,Deafness,PJVK,MESH:D003638,marker/mechanism,17329413
"Deafness, Autosomal Recessive 59",deafness autosomal recessive 59,,,PJVK,MESH:C565698,marker/mechanism,
Cysts,cysts,,,PKD1,MESH:D003560,marker/mechanism,21685914
"Disease Models, Animal",disease models animal,,,PKD1,MESH:D004195,marker/mechanism,25877301
"Polycystic Kidney, Autosomal Dominant",polycystic kidney autosomal dominant,,,PKD1,MESH:D016891,marker/mechanism,12089381|19401297|25877301|28887310|7581371|8004675
Polycystic Kidney Diseases,polycystic kidney diseases,,,PKD1,MESH:D007690,marker/mechanism,17932118|25877301|28887310
"HETEROTAXY, VISCERAL, 8, AUTOSOMAL",heterotaxy visceral 8 autosomal,,,PKD1L1,OMIM:617205,marker/mechanism,
Tetralogy of Fallot,tetralogy of fallot,,,PKD1L1,MESH:D013771,marker/mechanism,
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,PKD2,MESH:D008106,marker/mechanism,25380136
Neurodegenerative Diseases,neurodegenerative diseases,,,PKD2,MESH:D019636,marker/mechanism,25013951
"Polycystic Kidney, Autosomal Dominant",polycystic kidney autosomal dominant,,,PKD2,MESH:D016891,marker/mechanism,12089381|15001556|24719335|25877301|28887310|30883612
Retinal Diseases,retinal diseases,,,PKD2,MESH:D012164,marker/mechanism,25013951
Vascular Diseases,vascular diseases,,,PKD2,MESH:D014652,marker/mechanism,25013951
Desbuquois syndrome,desbuquois syndrome,,,PKDCC,MESH:C535943,marker/mechanism,
Choledochal Cyst,choledochal cyst,,,PKHD1,MESH:D015529,marker/mechanism,18988797
"Polycystic Kidney, Autosomal Recessive",polycystic kidney autosomal recessive,,,PKHD1,MESH:D017044,marker/mechanism,16133180|18988797|19524688|21685914
"Adenosine Triphosphate, Elevated, Of Erythrocytes",adenosine triphosphate elevated of erythrocytes,,,PKLR,MESH:C566310,marker/mechanism,
"Diabetes Mellitus, Experimental",diabetes mellitus experimental,,,PKLR,MESH:D003921,marker/mechanism,20363216
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,PKLR,MESH:D008106,marker/mechanism,25380136
Pyruvate Kinase Deficiency of Red Cells,pyruvate kinase deficiency of red cells,,,PKLR,MESH:C564858,marker/mechanism,
Carcinoma,carcinoma,,,PKM,MESH:D002277,marker/mechanism,16316942
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,PKM,MESH:D006528,marker/mechanism,19363144
Lymphangioleiomyomatosis,lymphangioleiomyomatosis,C0751674,Lymphangioleiomyomatosis,PKM,MESH:D018192,marker/mechanism,32078667
"Mammary Neoplasms, Animal",mammary neoplasms animal,,,PKM,MESH:D015674,marker/mechanism,16316942
"Mammary Neoplasms, Experimental",mammary neoplasms experimental,,,PKM,MESH:D008325,marker/mechanism,16316942
Neoplasm Invasiveness,neoplasm invasiveness,,,PKM,MESH:D009361,marker/mechanism,15048980|15654357
Osteoporosis,osteoporosis,C0029456,Osteoporosis,PKM,MESH:D010024,marker/mechanism,18924182
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,PKMYT1,MESH:D006528,marker/mechanism,28284560
Melanoma,melanoma,,,PKMYT1,MESH:D008545,marker/mechanism,22535842
"Prostate cancer, familial",prostate cancer familial,,,PKNOX2,MESH:C537243,marker/mechanism,29892016
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,PKP1,MESH:D006528,marker/mechanism,21472284
Ectodermal Dysplasia-Skin Fragility Syndrome,ectodermal dysplasia skin fragility syndrome,,,PKP1,MESH:C536183,marker/mechanism,
"Arrhythmias, Cardiac",arrhythmias cardiac,,,PKP2,MESH:D001145,marker/mechanism,
"Arrhythmogenic Right Ventricular Dysplasia, Familial, 9",arrhythmogenic right ventricular dysplasia familial 9,,,PKP2,MESH:C563808,marker/mechanism,
Atrial Fibrillation,atrial fibrillation,C0004238,Atrial fibrillation,PKP2,MESH:D001281,marker/mechanism,29892015|30061737
Prostatic Neoplasms,prostatic neoplasms,,,PKP3,MESH:D011471,marker/mechanism,17013881
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,PLA2G12A,MESH:D008106,marker/mechanism,25380136
Atherosclerosis,atherosclerosis,,,PLA2G2A,MESH:D050197,marker/mechanism,19237014
Colorectal Neoplasms,colorectal neoplasms,,,PLA2G2A,MESH:D015179,marker/mechanism,
Endometriosis,endometriosis,C0014175,Endometriosis,PLA2G2A,MESH:D004715,marker/mechanism,25446850
Myocardial Ischemia,myocardial ischemia,,,PLA2G2A,MESH:D017202,marker/mechanism,16214533
Reperfusion Injury,reperfusion injury,,,PLA2G2A,MESH:D015427,marker/mechanism,12967936
Ovarian Cysts,ovarian cysts,,,PLA2G2D1,MESH:D010048,marker/mechanism,21239663
Amyotrophic Lateral Sclerosis,amyotrophic lateral sclerosis,,,PLA2G4A,MESH:D000690,marker/mechanism,15816863
"Asthma, Occupational",asthma occupational,,,PLA2G4A,MESH:D059366,marker/mechanism,27504716
Autistic Disorder,autistic disorder,,,PLA2G4A,MESH:D001321,marker/mechanism,15301788
Blood Platelet Disorders,blood platelet disorders,,,PLA2G4A,MESH:D001791,marker/mechanism,18451993
Breast Neoplasms,breast neoplasms,,,PLA2G4A,MESH:D001943,marker/mechanism,21119660
Dermatitis,dermatitis,C0011603,Dermatitis,PLA2G4A,MESH:D003872,marker/mechanism,18287786
Duodenal Ulcer,duodenal ulcer,C0013295,Duodenal ulcer,PLA2G4A,MESH:D004381,marker/mechanism,18451993
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,PLA2G4A,MESH:D008106,marker/mechanism,25380136
"Metabolism, Inborn Errors",metabolism inborn errors,,,PLA2G4A,MESH:D008661,marker/mechanism,18451993
Respiratory Distress Syndrome,respiratory distress syndrome,,,PLA2G4A,MESH:D012128,marker/mechanism,10881173
"Fleck Retina, Familial Benign",fleck retina familial benign,,,PLA2G5,MESH:C565564,marker/mechanism,
Retinitis pigmentosa 1,retinitis pigmentosa 1,,,PLA2G5,MESH:C538365,marker/mechanism,
NBIA2B,nbia2b,,,PLA2G6,MESH:C565699,marker/mechanism,
NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2A,neurodegeneration with brain iron accumulation 2a,,,PLA2G6,OMIM:256600,marker/mechanism,
Nevus,nevus,,,PLA2G6,MESH:D009506,marker/mechanism,19578365
"PARKINSON DISEASE 14, AUTOSOMAL RECESSIVE",parkinson disease 14 autosomal recessive,,,PLA2G6,OMIM:612953,marker/mechanism,
Asthma,asthma,C0004096,Asthma,PLA2G7,MESH:D001249,marker/mechanism,10733466
Coronary Disease,coronary disease,,,PLA2G7,MESH:D003327,marker/mechanism,21356620
"Hypersensitivity, Immediate",hypersensitivity immediate,,,PLA2G7,MESH:D006969,marker/mechanism,10733466
"Metabolism, Inborn Errors",metabolism inborn errors,,,PLA2G7,MESH:D008661,marker/mechanism,8675689
Platelet-Activating Factor Acetylhydrolase Deficiency,platelet activating factor acetylhydrolase deficiency,,,PLA2G7,MESH:C566640,marker/mechanism,
Stroke,stroke,,,PLA2G7,MESH:D020521,marker/mechanism,21356620
Substance-Related Disorders,substance related disorders,,,PLA2R1,MESH:D019966,marker/mechanism,20098672
Inflammation,inflammation,C0021368,Inflammation,PLAA,MESH:D007249,marker/mechanism,11094054
"Carcinoma, Hepatocellular",carcinoma hepatocellular,,,PLAC8,MESH:D006528,marker/mechanism,28284560
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,PLAC8,MESH:D008106,marker/mechanism,25380136
"Carcinoma, Basal Cell",carcinoma basal cell,,,PLAG1,MESH:D002280,marker/mechanism,36428691
Desbuquois syndrome,desbuquois syndrome,,,PLAG1,MESH:C535943,marker/mechanism,
Lipoblastoma,lipoblastoma,,,PLAG1,MESH:D062689,marker/mechanism,16308870
"Salivary Gland Adenoma, Pleomorphic",salivary gland adenoma pleomorphic,,,PLAG1,MESH:C563250,marker/mechanism,
"Diabetes Mellitus, Transient Neonatal, 1",diabetes mellitus transient neonatal 1,,,PLAGL1,MESH:C563322,marker/mechanism,
Stomach Neoplasms,stomach neoplasms,,,PLAGL1,MESH:D013274,marker/mechanism,16367923
"Acidosis, Lactic",acidosis lactic,,,PLAT,MESH:D000140,therapeutic,25331496
Airway Obstruction,airway obstruction,,,PLAT,MESH:D000402,therapeutic,25331496
Amphetamine-Related Disorders,amphetamine related disorders,,,PLAT,MESH:D019969,marker/mechanism,15659235
Angioedema,angioedema,C0002994,Angioedema,PLAT,MESH:D000799,marker/mechanism,16184341|18453163|20547619
Aphasia,aphasia,C0003537,Aphasia,PLAT,MESH:D001037,therapeutic,12690208
Arterial Occlusive Diseases,arterial occlusive diseases,,,PLAT,MESH:D001157,therapeutic,15557913
Atherosclerosis,atherosclerosis,,,PLAT,MESH:D050197,therapeutic,12677255
Back Pain,back pain,C0004604,Back pain,PLAT,MESH:D001416,marker/mechanism,12227717
Bacteremia,bacteremia,,,PLAT,MESH:D016470,therapeutic,1430592
Brain Edema,brain edema,,,PLAT,MESH:D001929,therapeutic,29651748
Brain Infarction,brain infarction,,,PLAT,MESH:D020520,therapeutic,16190367
Brain Ischemia,brain ischemia,,,PLAT,MESH:D002545,therapeutic,10572812|11108748|11940547|12221155|12511774|14986460|15017018|15087567|16126134|16763187|16809570|17086147|17525387|17903870|20123226|20212195|20488584|20536612|21037505|23876515|7477192|9259745|9400355|9479658|9566367|9633741
Cardiac Tamponade,cardiac tamponade,C0007177,Cardiac tamponade,PLAT,MESH:D002305,marker/mechanism,9633741
Cerebral Hemorrhage,cerebral hemorrhage,,,PLAT,MESH:D002543,marker/mechanism,10501537|11113218|11940547|1430592|14630814|1579960|16126134|16190367|16908730|17690543|18346647|18369171|18753474|1899364|19095969|20212195|21088392|22436003|23876515|29651748|7477192|7723950|8969996|9836764
Cerebral Infarction,cerebral infarction,C0007785,Cerebral infarction,PLAT,MESH:D002544,marker/mechanism|therapeutic,1579960|16148626|18195371|18544249|1899364|9183334
Chemical and Drug Induced Liver Injury,chemical and drug induced liver injury,,,PLAT,MESH:D056486,marker/mechanism,22507835
Coronary Thrombosis,coronary thrombosis,,,PLAT,MESH:D003328,therapeutic,1452937|15301905|8172379
"Dermatitis, Allergic Contact",dermatitis allergic contact,,,PLAT,MESH:D017449,marker/mechanism,17374397
Embolism,embolism,C0013922,Embolism,PLAT,MESH:D004617,therapeutic,16148626
Embolism and Thrombosis,embolism and thrombosis,,,PLAT,MESH:D016769,therapeutic,9684808
"Embolism, Cholesterol",embolism cholesterol,,,PLAT,MESH:D017700,marker/mechanism,7939511
Heart Failure,heart failure,,,PLAT,MESH:D006333,marker/mechanism,22352330
"Hematoma, Epidural, Spinal",hematoma epidural spinal,,,PLAT,MESH:D046748,marker/mechanism,10914357|12227717
"Hematoma, Subdural",hematoma subdural,,,PLAT,MESH:D006408,marker/mechanism,1899364
Hemorrhage,hemorrhage,,,PLAT,MESH:D006470,marker/mechanism,15016487|15502123|22507835|2514002|8082347|8427107|9199818|9266785
Hypertension,hypertension,C0020538,Hypertension,PLAT,MESH:D006973,marker/mechanism,22352330
Hypotension,hypotension,C0020649,Hypotension,PLAT,MESH:D007022,marker/mechanism,1492007
Hypoxia,hypoxia,C0242184,Hypoxia,PLAT,MESH:D000860,therapeutic,25331496
"Infarction, Middle Cerebral Artery",infarction middle cerebral artery,,,PLAT,MESH:D020244,therapeutic,12297567|17690543|18453163|20547619|29651748
Intracranial Embolism and Thrombosis,intracranial embolism and thrombosis,,,PLAT,MESH:D002542,therapeutic,7482654|8427107
Intracranial Hemorrhages,intracranial hemorrhages,,,PLAT,MESH:D020300,marker/mechanism,11320361|12230423|15017018|15215796|15557913|17612434|17687131|17903947|20123226|20536612|2104561|3168586|7902905|8961984
Intracranial Thrombosis,intracranial thrombosis,,,PLAT,MESH:D020767,therapeutic,8678742
Ischemic Stroke,ischemic stroke,,,PLAT,MESH:D000083242,therapeutic,12865603|15502123|19473668|19907167
"Liver Cirrhosis, Experimental",liver cirrhosis experimental,,,PLAT,MESH:D008106,marker/mechanism,25380136
Low Back Pain,low back pain,,,PLAT,MESH:D017116,therapeutic,7888893
Meningoencephalitis,meningoencephalitis,,,PLAT,MESH:D008590,therapeutic,1430592
Myocardial Infarction,myocardial infarction,C0027051,Myocardial infarction,PLAT,MESH:D009203,therapeutic,10171637|10505926|10645301|10914357|11382373|11489769|12074692|12227717|12848087|1430592|1492007|15215796|15301905|18195371|1898952|1899364|1900011|19341228|20122609|2104561|2105625|2494454|2505604|2521976|3089627|3121335|7488445|7723950|7775709|7902905|8328192|8554022|8598594|9183334
Nerve Degeneration,nerve degeneration,,,PLAT,MESH:D009410,marker/mechanism,19911010
Neurologic Manifestations,neurologic manifestations,,,PLAT,MESH:D009461,marker/mechanism|therapeutic,22436003|23876515|29651748
Neurotoxicity Syndromes,neurotoxicity syndromes,,,PLAT,MESH:D020258,marker/mechanism,19442825
Paresis,paresis,C0030552,Paresis,PLAT,MESH:D010291,therapeutic,12690208
Pericardial Effusion,pericardial effusion,C0031039,Pericardial effusion,PLAT,MESH:D010490,marker/mechanism,9633741
