adr_idx,adr_id,adr_name
74,C0003460,Anuria
75,C0003467,Anxiety
76,C0003469,Anxiety disorder
77,C0003486,Aortic aneurysm
78,C0003493,Aortic disorder
79,C0003504,Aortic valve incompetence
80,C0003507,Aortic valve stenosis
81,C0003537,Aphasia
82,C0003564,Aphonia
83,C0003578,Apnoea
84,C0003615,Appendicitis
85,C0003621,Appetite disorder
86,C0003635,Apraxia
87,C0003708,Arachnoiditis
88,C0003811,Arrhythmia
89,C0003813,Sinus arrhythmia
90,C0003834,Arterial insufficiency
91,C0003838,Arterial occlusive disease
92,C0003850,Arteriosclerosis
93,C0003855,Arteriovenous fistula
94,C0003860,Arteritis
95,C0003862,Arthralgia
96,C0003864,Arthritis
97,C0003868,Gouty arthritis
98,C0003873,Rheumatoid arthritis
99,C0003892,Neuropathic arthropathy
100,C0003910,Phonological disorder
101,C0003950,Ascariasis
102,C0003962,Ascites
103,C0004044,Asphyxia
104,C0004093,Asthenia
105,C0004095,Asthenopia
106,C0004096,Asthma
107,C0004114,Astrocytoma
108,C0004134,Ataxia
109,C0004144,Atelectasis
110,C0004158,Athetosis
111,C0004238,Atrial fibrillation
112,C0004239,Atrial flutter
113,C0004245,Atrioventricular block
114,C0004331,Atrioventricular dissociation
115,C0004364,Autoimmune disorder
116,C0004377,Automatism
117,C0004509,Azoospermia
118,C0004601,Back injury
119,C0004604,Back pain
120,C0004610,Bacteraemia
121,C0004623,Bacterial infection
122,C0004626,Pneumonia bacterial
123,C0004659,Bacteriuria
124,C0004690,Balanitis
125,C0004691,Balanoposthitis
126,C0004763,Barrett's oesophagus
127,C0004767,Bartholin's cyst
128,C0004936,Mental disorder
129,C0004998,Benign neoplasm of skin
130,C0005586,Bipolar disorder
131,C0005683,Calculus bladder
132,C0005684,Bladder cancer
133,C0005686,Bladder disorder
134,C0005694,Bladder neck obstruction
135,C0005695,Bladder neoplasm
136,C0005697,Neurogenic bladder
137,C0005699,Blast cell crisis
138,C0005716,Blastomycosis
139,C0005741,Blepharitis
140,C0005745,Eyelid ptosis
141,C0005747,Blepharospasm
142,C0005758,Blister
143,C0005779,Coagulopathy
144,C0005818,Platelet disorder
145,C0005826,Blood pressure abnormal
146,C0005940,Bone disorder
147,C0005944,Bone metabolism disorder
148,C0005956,Bone marrow disorder
149,C0005959,Marrow hyperplasia
150,C0005967,Bone neoplasm
151,C0006079,Bowen's disease
152,C0006107,Concussion
153,C0006112,Metabolic encephalopathy
154,C0006118,Brain neoplasm
155,C0006142,Breast cancer
156,C0006144,Breast cyst
157,C0006145,Breast disorder
158,C0006147,Breast feeding
159,C0006152,Breast swelling
160,C0006261,Bronchial disorder
161,C0006266,Bronchospasm
162,C0006272,Obliterative bronchiolitis
163,C0006277,Bronchitis
164,C0006285,Bronchopneumonia
165,C0006325,Bruxism
166,C0006384,Bundle branch block
167,C0006413,Burkitt's lymphoma
168,C0006430,Burning mouth syndrome
169,C0006444,Bursitis
170,C0006625,Cachexia
171,C0006663,Calcinosis
172,C0006826,Neoplasm malignant
173,C0006840,Candida infection
174,C0006846,Skin candida
175,C0006848,Mucocutaneous candidiasis
176,C0006849,Oral candidiasis
177,C0006905,Capillary fragility
178,C0007078,Carbuncle
179,C0007102,Colon cancer
180,C0007107,Laryngeal cancer
181,C0007113,Rectal cancer
182,C0007114,Skin cancer
183,C0007117,Basal cell carcinoma
184,C0007120,Bronchioloalveolar carcinoma
185,C0007134,Renal cell carcinoma
186,C0007137,Squamous cell carcinoma
187,C0007166,Cardiac output decreased
188,C0007177,Cardiac tamponade
189,C0007193,Congestive cardiomyopathy
190,C0007194,Hypertrophic cardiomyopathy
191,C0007196,Restrictive cardiomyopathy
192,C0007222,Cardiovascular disorder
193,C0007282,Carotid artery stenosis
194,C0007286,Carpal tunnel syndrome
195,C0007302,Chondropathy
196,C0007384,Cataplexy
197,C0007398,Catatonia
198,C0007642,Cellulitis
199,C0007684,Central nervous system infection
200,C0007758,Cerebellar ataxia
201,C0007760,Cerebellar syndrome
202,C0007766,Intracranial aneurysm
203,C0007780,Cerebral artery embolism
204,C0007785,Cerebral infarction
205,C0007787,Transient ischaemic attack
206,C0007820,Cerebrovascular disorder
207,C0007859,Neck pain
208,C0007860,Cervicitis
209,C0007863,Occipital neuralgia
210,C0007867,Cervix disorder
211,C0007868,Cervical dysplasia
212,C0007869,Uterine cervical erosion
213,C0007933,Chalazion
214,C0007971,Cheilitis
215,C0008031,Chest pain
216,C0008033,Pleuritic pain
217,C0008049,Varicella
218,C0008301,Choking
219,C0008311,Cholangitis
220,C0008313,Cholangitis sclerosing
221,C0008325,Cholecystitis
222,C0008350,Cholelithiasis
223,C0008370,Cholestasis
224,C0008489,Chorea
225,C0008513,Chorioretinitis
226,C0008526,Choroiditis
227,C0008728,Allergic granulomatous angiitis
228,C0008909,Claustrophobia
229,C0008924,Cleft lip
230,C0008925,Cleft palate
231,C0009024,Clonus
232,C0009062,Clostridial infection
